n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
115,0.16878931197559113,0.0271233256626158,0.12691609458428665,0.21765461479786427,6.91276,0.03200951909021106,rutledge,aristoteles,sequential
120,0.1707580644257703,0.026791519256005314,0.1290658613445378,0.2159297969187674,6.9094066666666665,0.03159795766380662,rutledge,aristoteles,sequential
125,0.17242479483870968,0.02628829411330577,0.1319412903225806,0.21488729032258067,6.9095808,0.029326641388851563,rutledge,aristoteles,sequential
130,0.17094726058437687,0.02581053048417186,0.1289614490161,0.21398485390578445,6.909849230769231,0.029750572670345588,rutledge,aristoteles,sequential
135,0.16857707683803205,0.023870340000311168,0.12846462133775588,0.20831990049751226,6.9116977777777775,0.026233196639575858,rutledge,aristoteles,sequential
140,0.17039772456320654,0.02381972853099288,0.13435593525179848,0.2113004367934227,6.911657142857143,0.02646938994663589,rutledge,aristoteles,sequential
145,0.1697532777777778,0.023234860741290855,0.13364032567049805,0.21049142720306538,6.910626206896552,0.02496561665891568,rutledge,aristoteles,sequential
150,0.168136992393736,0.022575107407614977,0.13466702460850088,0.20708722595078302,6.911476,0.02610975075313827,rutledge,aristoteles,sequential
155,0.1692782555509007,0.02146934642690314,0.13396669459572658,0.20323829074151648,6.913109677419355,0.024236986453524244,rutledge,aristoteles,sequential
160,0.1710391077044025,0.02138521700353506,0.13745715408805007,0.20543810927672962,6.91166625,0.024695750441467337,rutledge,aristoteles,sequential
165,0.16909428972653368,0.02089710507380517,0.13486803399852182,0.20115594974131548,6.912267878787879,0.02420583438360427,rutledge,aristoteles,sequential
170,0.1693689787678385,0.01922319099865117,0.13952314653672135,0.20107318134354335,6.91328,0.02392343826616799,rutledge,aristoteles,sequential
175,0.1697798515599343,0.019024426462941894,0.13816896551724153,0.19999159277504064,6.91212,0.022357390224084717,rutledge,aristoteles,sequential
180,0.16959568715083795,0.019487809061430758,0.13778491620111732,0.20041171632526358,6.9107755555555554,0.022575207990938578,rutledge,aristoteles,sequential
