domain,n_scores,mean_abs_diff,sd_abs_diff,median_abs_diff,max_abs_diff,exact_matches,pct_exact,pct_within_1pt,correlation
narrative,189,0.6137566137566136,1.002136634429192,0,5,117,61.904761904761905,86.24338624338624,0.8656247861088221
speech_act,111,0.3873873873873874,0.715683667693425,0,5,77,69.36936936936937,94.5945945945946,0.9289592431115637
transactional,196,0.3647959183673471,0.6837569362578273,0,3,144,73.46938775510205,91.3265306122449,0.9396334186911671
schulz_von_thun,140,0.33714285714285713,0.6002808523909234,0,3,93,66.42857142857143,94.28571428571428,0.816735539299191
dekker,224,0.33482142857142855,0.5677759018272157,0,2,160,71.42857142857143,95.08928571428571,0.9210131615796351
metaphor,83,0.2891566265060241,0.6722753588343078,0,4,65,78.3132530120482,96.3855421686747,0.8734097266803519
aristoteles,224,0.28616071428571443,0.4709836011268635,0,2,157,70.08928571428571,98.66071428571429,0.8844890470736093
kolb,476,0.2739495798319327,0.4718540693006826,0,2,344,72.26890756302521,98.52941176470588,0.9384223938773
